RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-04-30,2023-06-30,2024-03-31
63405,1458,14075,zip,NY,NY,Hamburg,"Buffalo-Cheektowaga, NY",Erie County,2023-03-31,0.2,0.2,1.0
61780,1459,10304,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,2023-03-31,0.0,0.0,-0.2
91274,1460,76131,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County,2023-03-31,-0.3,-0.3,0.5
72458,1461,33155,zip,FL,FL,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,2023-03-31,0.1,-0.4,2.6
96024,1462,90043,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2023-03-31,-1.2,-2.4,-0.6
90624,1463,75019,zip,TX,TX,Coppell,"Dallas-Fort Worth-Arlington, TX",Dallas County,2023-03-31,0.2,0.0,0.9
89870,1464,73034,zip,OK,OK,Edmond,"Oklahoma City, OK",Oklahoma County,2023-03-31,0.4,0.4,1.2
58649,1464,02135,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,2023-03-31,0.4,0.0,-0.3
63531,1466,14450,zip,NY,NY,Fairport,"Rochester, NY",Monroe County,2023-03-31,0.3,0.2,1.5
80792,1467,52001,zip,IA,IA,Dubuque,"Dubuque, IA",Dubuque County,2023-03-31,-0.5,-1.2,-0.7
96389,1468,91367,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2023-03-31,-0.5,-1.1,-0.1
95931,1469,89502,zip,NV,NV,Reno,"Reno, NV",Washoe County,2023-03-31,-0.2,-1.2,-0.5
74670,1470,38134,zip,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,2023-03-31,-0.1,-0.1,2.2
94559,1471,84401,zip,UT,UT,Ogden,"Ogden-Clearfield, UT",Weber County,2023-03-31,-0.4,-1.1,1.1
90629,1472,75024,zip,TX,TX,Plano,"Dallas-Fort Worth-Arlington, TX",Collin County,2023-03-31,0.1,-0.1,1.3
97789,1473,94583,zip,CA,CA,San Ramon,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2023-03-31,-0.7,-1.5,-2.1
66254,1474,20164,zip,VA,VA,Sterling,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Loudoun County,2023-03-31,0.2,-0.1,-0.3
92312,1475,78216,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,2023-03-31,0.0,-0.6,1.2
94841,1476,85249,zip,AZ,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2023-03-31,-0.2,-0.5,1.2
71325,1477,30815,zip,GA,GA,Hephzibah,"Augusta-Richmond County, GA-SC",Richmond County,2023-03-31,0.1,0.0,2.6
92326,1478,78230,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,2023-03-31,0.1,-0.3,1.2
73145,1478,34609,zip,FL,FL,Spring Hill,"Tampa-St. Petersburg-Clearwater, FL",Hernando County,2023-03-31,-0.3,-0.2,2.1
85871,1480,63026,zip,MO,MO,Fenton,"St. Louis, MO-IL",Saint Louis County,2023-03-31,0.2,-0.1,0.5
99638,1481,98225,zip,WA,WA,Bellingham,"Bellingham, WA",Whatcom County,2023-03-31,-0.2,-0.9,0.6
97813,1482,94611,zip,CA,CA,Piedmont,"San Francisco-Oakland-Berkeley, CA",Alameda County,2023-03-31,-0.5,-1.5,-2.1
94900,1483,85323,zip,AZ,AZ,Avondale,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2023-03-31,-0.5,-0.9,1.2
89902,1484,73071,zip,OK,OK,Norman,"Oklahoma City, OK",Cleveland County,2023-03-31,0.3,0.3,1.0
83520,1485,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,2023-03-31,0.1,-0.1,-1.4
99182,1486,97305,zip,OR,OR,Hayesville,"Salem, OR",Marion County,2023-03-31,0.3,0.4,0.9
61633,1487,10019,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2023-03-31,0.0,0.2,0.2
78983,1488,48111,zip,MI,MI,Belleville,"Detroit-Warren-Dearborn, MI",Wayne County,2023-03-31,0.4,0.3,0.4
64017,1489,15317,zip,PA,PA,Canonsburg,"Pittsburgh, PA",Washington County,2023-03-31,0.1,0.1,-0.1
96480,1490,91733,zip,CA,CA,South El Monte,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2023-03-31,-1.1,-1.8,-0.8
77296,1491,44691,zip,OH,OH,Wooster,"Wooster, OH",Wayne County,2023-03-31,-0.8,-1.2,2.5
65919,1492,19426,zip,PA,PA,Collegeville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,2023-03-31,0.5,0.5,1.3
84569,1493,60540,zip,IL,IL,Naperville,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2023-03-31,0.2,-0.7,-1.1
65941,1494,19460,zip,PA,PA,Phoenixville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,2023-03-31,0.8,0.8,1.3
79118,1494,48307,zip,MI,MI,Rochester Hills,"Detroit-Warren-Dearborn, MI",Oakland County,2023-03-31,0.3,0.1,1.2
98440,1496,95831,zip,CA,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,2023-03-31,0.0,-0.7,-0.5
94929,1497,85353,zip,AZ,AZ,Tolleson,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2023-03-31,-0.3,-0.7,1.1
72367,1498,33029,zip,FL,FL,Pembroke Pines,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,2023-03-31,0.0,-0.1,1.9
92838,1499,79109,zip,TX,TX,Amarillo,"Amarillo, TX",Randall County,2023-03-31,0.3,0.1,1.0
72472,1500,33169,zip,FL,FL,Miami Gardens,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,2023-03-31,0.6,0.5,2.9
94702,1501,84770,zip,UT,UT,Saint George,"St. George, UT",Washington County,2023-03-31,0.0,0.0,1.4
65321,1502,18042,zip,PA,PA,Easton,"Allentown-Bethlehem-Easton, PA-NJ",Northampton County,2023-03-31,0.2,-0.1,1.5
63428,1503,14120,zip,NY,NY,North Tonawanda,"Buffalo-Cheektowaga, NY",Niagara County,2023-03-31,0.2,0.2,0.8
62167,1504,11580,zip,NY,NY,Valley Stream,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County,2023-03-31,0.3,0.2,-0.2
79074,1505,48219,zip,MI,MI,Detroit,"Detroit-Warren-Dearborn, MI",Wayne County,2023-03-31,0.2,0.8,-0.8
70935,1506,30165,zip,GA,GA,Rome,"Rome, GA",Floyd County,2023-03-31,0.2,0.0,3.5
61208,1507,08844,zip,NJ,NJ,Hillsborough Township,"New York-Newark-Jersey City, NY-NJ-PA",Somerset County,2023-03-31,0.4,-0.1,0.0
98323,1508,95628,zip,CA,CA,Fair Oaks,"Sacramento-Roseville-Folsom, CA",Sacramento County,2023-03-31,-0.3,-1.1,-1.1
98043,1509,95209,zip,CA,CA,Stockton,"Stockton, CA",San Joaquin County,2023-03-31,-0.2,-0.7,-0.7
98921,1510,96786,zip,HI,HI,Wahiawa,"Urban Honolulu, HI",Honolulu County,2023-03-31,-0.4,-1.2,-1.3
99694,1510,98290,zip,WA,WA,Snohomish,"Seattle-Tacoma-Bellevue, WA",Snohomish County,2023-03-31,-0.4,-0.9,-0.8
79755,1512,49442,zip,MI,MI,Muskegon,"Muskegon, MI",Muskegon County,2023-03-31,0.1,-0.1,2.5
70908,1513,30134,zip,GA,GA,Douglasville,"Atlanta-Sandy Springs-Alpharetta, GA",Douglas County,2023-03-31,-0.3,-0.6,1.4
94846,1514,85254,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2023-03-31,0.2,-0.2,2.1
70855,1515,30076,zip,GA,GA,Roswell,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,2023-03-31,0.2,-0.4,2.6
98157,1516,95380,zip,CA,CA,Turlock,"Modesto, CA",Stanislaus County,2023-03-31,0.1,-0.3,-0.2
65140,1517,17701,zip,PA,PA,Williamsport,"Williamsport, PA",Lycoming County,2023-03-31,0.5,0.0,-0.7
98174,1518,95407,zip,CA,CA,Santa Rosa,"Santa Rosa-Petaluma, CA",Sonoma County,2023-03-31,0.0,-0.6,-2.0
62232,1519,11756,zip,NY,NY,Levittown,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County,2023-03-31,0.4,0.2,-0.2
78128,1520,46385,zip,IN,IN,Valparaiso,"Chicago-Naperville-Elgin, IL-IN-WI",Porter County,2023-03-31,0.3,0.0,-0.7
95988,1521,90007,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2023-03-31,-1.2,-2.4,-0.6
76601,1522,43235,zip,OH,OH,Worthington,"Columbus, OH",Franklin County,2023-03-31,0.3,0.3,2.2
85934,1523,63116,zip,MO,MO,Saint Louis,"St. Louis, MO-IL",Saint Louis City,2023-03-31,-0.4,-1.5,-1.1
96885,1525,92506,zip,CA,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,2023-03-31,0.0,-0.3,0.6
96505,1526,91765,zip,CA,CA,Diamond Bar,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2023-03-31,-0.9,-1.4,-0.4
